,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
383,RB,Michael Burton,0.6666666666666666,4500,10.833333333333336,0,0,0,0,1,0,0,50
384,K,Zane Gonzalez,4.714285714285714,4500,6.571428571428571,1,0,1,0,0,0,0,24
385,WR,Brian Quick,1.6000000238418581,4500,6.333333333333332,1,0,0,0,0,0,1,35
386,TE,Scott Simonson,0.0,4500,6.0,0,0,0,0,0,1,0,11
387,WR,Eli Rogers,1.9750000238418581,4500,13.0,0,0,0,0,0,0,1,53
388,TE,Erik Swoope,4.80000008477105,4500,6.833333333333332,0,0,0,0,0,1,0,12
389,TE,Kyle Nelson,0.0,4500,8.285714285714286,0,0,0,0,0,1,0,16
390,TE,C.J. Uzomah,1.8000000317891438,4500,5.0,1,0,0,0,0,1,0,9
391,WR,Marcus Johnson,0.8000000119209291,4500,3.8571428571428568,1,0,0,0,0,0,1,43
392,TE,Sean Culkin,0.0,4500,5.0,0,0,0,0,0,1,0,11
393,WR,Rueben Randle,0.0,4500,10.833333333333336,0,0,0,0,0,0,1,12
394,TE,Dion Sims,3.7599998474121095,4500,10.833333333333336,0,0,0,0,0,1,0,13
395,TE,Dwayne Allen,0.0,4500,8.571428571428571,1,0,0,0,0,1,0,31
396,WR,Bennie Fowler,6.583333333333332,4500,7.142857142857142,0,0,0,0,0,0,1,20
397,TE,Darrell Daniels,1.024999976158142,4500,6.833333333333332,0,0,0,0,0,1,0,11
398,RB,Kyle Juszczyk,4.775000095367432,4500,8.285714285714286,0,0,0,0,1,0,0,23
399,RB,Jamize Olawale,1.2666666507720947,4500,9.333333333333334,0,0,0,0,1,0,0,10
400,WR,Sammie Coates,0.8000000119209291,4500,6.571428571428571,1,0,0,0,0,0,1,46
401,K,Adam Vinatieri,8.833333333333334,4500,6.833333333333332,0,0,1,0,0,0,0,45
402,TE,Keith Towbridge,0.0,4500,3.571428571428572,1,0,0,0,0,1,0,57
403,RB,Robert Turbin,3.566666603088379,4500,6.833333333333332,0,0,0,0,1,0,0,13
404,RB,Matt Jones,0.699999988079071,4500,6.833333333333332,0,0,0,0,1,0,0,25
